Metal,Antigen,Clustering,Plotting,asinh.factor
Time,,0,0,5
Event_length,length,0,0,5
Y89Di,CD45,0,0,10
Pd102Di,,0,0,5
Pd104Di,,0,0,5
Pd105Di,,0,0,5
Pd106Di,,0,0,5
Pd108Di,,0,0,5
Pd110Di,,0,0,5
Cd111Di,,0,0,5
Cd112Di,CD34,1,1,20
In113Di,CD54,1,1,5
Cd114Di,,0,0,5
In115Di,,0,0,5
Cd116Di,TLR4,0,0,5
I127Di,,0,0,5
Xe131Di,,0,0,5
Ba138Di,,0,0,5
La139Di,CD206,0,0,30
Ce140Di,,0,0,5
Pr141Di,LY-6G,0,0,5
Nd142Di,CD87,0,0,5
Ce142Di,,0,0,5
Nd143Di,CD68,0,0,5
Nd144Di,CD115,0,0,5
Nd145Di,CD4,0,0,5
Nd146Di,CD43,0,0,10
Sm147Di,Myh11,0,0,2
Nd148Di,CD133,0,0,5
Sm149Di,TLR2,1,0,5
Nd150Di,CD25,0,0,5
Eu151Di,IgM,0,0,5
Sm152Di,KI67,0,0,5
Eu153Di,CD18,0,0,5
Sm154Di,CD106,1,0,5
Gd155Di,CD31,0,1,10
Gd156Di,CXCR4,0,0,5
Gd158Di,CNN,0,0,5
Tb159Di,aSMA,0,0,5
Dy160Di,,0,0,5
Gd160Di,CD5,0,0,5
Dy161Di,SM22a,0,0,10
Dy162Di,GFP,0,0,5
Dy163Di,,0,0,5
Dy164Di,CX3CR1,0,0,5
Ho165Di,CD11c,0,0,5
Er166Di,CD74,1,1,5
Er167Di,CD40,1,0,5
Er168Di,CD8,0,0,5
Tm169Di,CXCL12,1,1,5
Er170Di,NK1.1,0,0,5
Yb171Di,CD11b,0,0,5
Yb172Di,CD138,0,0,5
Yb173Di,CL,0,0,10
Yb174Di,CD19,0,0,5
Lu175Di,F4-80,0,0,5
Yb176Di,B220,0,0,20
Lu176Di,,0,0,5
BCKG190Di,,0,0,5
Os190Di,CD3,0,0,5
Ir191Di,,0,0,5
Ir193Di,,0,0,5
Pt194Di,,0,0,5
Pt195Di,,0,0,5
Pt198Di,,0,0,5
Pb208Di,,0,0,5
Bi209Di,,0,0,5
Center,,0,0,5
Offset,,0,0,5
Width,,0,0,5
Residual,,0,0,5
beadDist,,0,0,5
bc_separation_dist,separation,0,0,5
mahalanobis_dist,dist,0,0,5
